ebird_species_name,beak_width,hwi,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle
Treron curvirostra,5.9,34.9,134.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron floris,6.1,29.9,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron formosae,5.6,35.5,140,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron fulvicollis,4.5,33.3,167,Woodland,2,1,Herbivore,Frugivore,Insessorial
Treron griseicauda,5.5,33.9,205.7,Grassland,2,1,Herbivore,Frugivore,Insessorial
Treron griveaudi,6.2,36.7,229,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron olax,4.1,34,77,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron oxyurus,5.5,35.6,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron pembaensis,5.9,36.2,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron phayrei,4.9,38.9,187,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron phoenicopterus,6.5,39.5,235,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron pompadora,4.9,37.8,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron psittaceus,6,32.9,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron sanctithomae,7.9,35.4,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron seimundi,6.1,33.9,157.8,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron sieboldii,5.1,37.6,245,Forest,2,2,Herbivore,Frugivore,Insessorial
Treron sphenurus,5.1,37.1,210,Forest,1,2,Herbivore,Frugivore,Insessorial
Treron teysmannii,6.1,33.1,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron vernans,4.7,32.8,132,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron waalia,6.2,37,254,Woodland,2,2,Herbivore,Frugivore,Insessorial
Trugon terrestris,5.1,30.1,400,Forest,1,1,Herbivore,Granivore,Terrestrial
Turacoena manadensis,4.7,29.2,208.6,Forest,1,1,Herbivore,Frugivore,Insessorial
Turacoena modesta,4.8,32.8,340,Forest,1,1,Herbivore,Frugivore,Insessorial
Turacoena sulaensis,5.3,29.2,208.6,Forest,1,1,Herbivore,Frugivore,Insessorial
Turtur abyssinicus,2.2,30.9,62.7,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur afer,2.1,28.2,65.6,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur brehmeri,2.7,25.2,116,Forest,2,1,Omnivore,Omnivore,Terrestrial
Turtur chalcospilos,2.6,28.4,60.6,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur tympanistria,2.9,25.2,70.6,Forest,2,1,Herbivore,Granivore,Terrestrial
Uropelia campestris,2.1,19.9,35.2,Grassland,3,1,Herbivore,Granivore,Terrestrial
Zenaida asiatica,4.2,35.2,153,Shrubland,2,1,Herbivore,Granivore,Generalist
Zenaida auriculata,3.7,32.7,110.2,Human Modified,3,1,Herbivore,Granivore,Terrestrial
Zenaida aurita,2.8,33.6,156,Forest,3,1,Herbivore,Omnivore,Generalist
Zenaida galapagoensis,3.8,36.6,111,Woodland,3,1,Herbivore,Granivore,Generalist
Zenaida graysoni,4.3,26.4,192,Forest,1,1,Herbivore,Omnivore,Generalist
Zenaida macroura,2.7,36.6,118.9,Human Modified,3,1,Herbivore,Granivore,Terrestrial
Zenaida meloda,3.9,33.3,209.2,Shrubland,2,1,Herbivore,Granivore,Generalist
Zentrygon albifacies,3.7,25.2,238,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon carrikeri,5.7,23.1,267,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon chiriquensis,3.5,21.4,308,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon costaricensis,3.5,19.9,285.1,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon frenata,4.6,18.2,307,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon goldmani,5,18.4,258,Forest,1,1,Herbivore,Granivore,Terrestrial
Zentrygon lawrencii,3.4,24.3,220,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon linearis,3.5,20,261,Forest,1,1,Herbivore,Granivore,Terrestrial
Ducula cuprea,7,28.3,486,Forest,2,1,Herbivore,Frugivore,Insessorial
