ebird_species_name,beak_width,hwi,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle
Ducula basilica,7.6,29.5,507.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula bicolor,6.2,36.7,440,Forest,2,2,Herbivore,Frugivore,Insessorial
Ducula brenchleyi,6.1,37.2,380,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula carola,6,36.5,289,Forest,1,1,Herbivore,Frugivore,Insessorial
Ducula chalconota,6.1,26,502,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula cineracea,5.3,27.8,507.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula concinna,8.1,32,804.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula finschii,6.1,29.6,343.9,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula forsteni,6.1,28.8,510,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula galeata,8.6,32.8,605,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula goliath,7.4,28.5,600,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula lacernulata,6.6,25.8,150,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula latrans,6.6,29,365.1,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula luctuosa,7.1,31,410,Woodland,2,1,Herbivore,Frugivore,Insessorial
Ducula melanochroa,7.7,31.7,665,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula mindorensis,7.6,27.6,507.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula mullerii,7.8,27.1,574.9,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula myristicivora,9.2,32.6,535,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula neglecta,8,32.6,667,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula nicobarica,8.4,31.9,545,Forest,1,1,Herbivore,Frugivore,Insessorial
Ducula oceanica,6.2,27,371.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula pacifica,7.4,32.5,394.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula perspicillata,8.3,33,667,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula pickeringii,6.9,31.5,377,Forest,2,2,Herbivore,Frugivore,Insessorial
Ducula pinon,8.7,30.5,756,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula pistrinaria,8.4,29.3,515,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula poliocephala,6.4,29.8,555,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula radiata,5.7,32.6,295,Forest,1,1,Herbivore,Frugivore,Insessorial
Ducula rosacea,6.3,32.6,385.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula rubricera,8.1,33,652,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula rufigaster,6.3,27.6,436,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula spilorrhoa,7,33,464,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula subflavescens,7.1,38.9,440,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula whartoni,6.6,28.8,571.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Ducula zoeae,6,26,568,Forest,2,1,Herbivore,Frugivore,Insessorial
Gallicolumba crinigera,3.1,28.6,192.2,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba keayi,3.4,32.8,190.5,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba luzonica,2.9,27.4,196,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba menagei,3.5,30.2,196,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba platenae,4.2,27.6,196,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba rufigula,2.6,28.4,130,Forest,1,1,Herbivore,Omnivore,Terrestrial
Gallicolumba tristigmata,4.7,25.8,275,Forest,1,1,Herbivore,Omnivore,Terrestrial
Geopelia cuneata,2.2,35.6,31.6,Grassland,2,1,Herbivore,Granivore,Terrestrial
Geopelia humeralis,3.4,30.2,128.4,Woodland,2,1,Herbivore,Granivore,Terrestrial
Geopelia maugeus,2.7,30.7,56.6,Woodland,2,1,Herbivore,Granivore,Terrestrial
Geopelia placida,2.4,33.2,47.8,Woodland,2,1,Herbivore,Granivore,Terrestrial
Geopelia striata,2.5,27.7,56.6,Woodland,2,1,Herbivore,Granivore,Terrestrial
Geophaps plumifera,4.5,29.2,94.3,Grassland,3,2,Herbivore,Granivore,Terrestrial
Geophaps scripta,4.5,27,221.4,Woodland,2,2,Herbivore,Granivore,Terrestrial
Geophaps smithii,5.2,24.3,194,Forest,1,2,Herbivore,Granivore,Terrestrial
Geotrygon caniceps,3,29.5,192,Forest,1,1,Omnivore,Omnivore,Terrestrial
Geotrygon chrysia,3,32.3,169,Woodland,1,1,Herbivore,Omnivore,Terrestrial
Geotrygon leucometopia,2.8,32,192,Forest,1,1,Omnivore,Omnivore,Terrestrial
Geotrygon montana,3.5,27.1,133.9,Forest,1,1,Herbivore,Omnivore,Terrestrial
Geotrygon mystacea,3.2,28.8,211,Woodland,1,1,Omnivore,Omnivore,Terrestrial
Geotrygon purpurata,3.2,26.3,129,Forest,1,1,Omnivore,Omnivore,Terrestrial
