species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Ramphiculus mangoliensis,22725080,Sula Fruit-dove,2613,Sula Fruit-Dove,Ptilinopus mangoliensis,Ptilinopus mangoliensis,Ptilinopus_subgularis
Ramphiculus fischeri,22691332,Red-eared Fruit-dove,2605,Red-eared Fruit-Dove,Ptilinopus fischeri,Ptilinopus fischeri,Ptilinopus_fischeri
Ramphiculus fischeri,22691332,Red-eared Fruit-dove,2606,Red-eared Fruit-Dove (Red-eared),Ptilinopus fischeri fischeri/centralis,Ptilinopus fischeri,Ptilinopus_fischeri
Ramphiculus fischeri,22691332,Red-eared Fruit-dove,2609,Red-eared Fruit-Dove (Lompobattang),Ptilinopus fischeri meridionalis,Ptilinopus fischeri,Ptilinopus_fischeri
Ptilinopus temminckii,22725286,Western Superb Fruit-dove,2639,Superb Fruit-Dove (Western),Ptilinopus superbus temminckii,Ptilinopus superbus,Ptilinopus_superbus
Ptilinopus gestroi,22728059,Eastern Ornate Fruit-dove,2634,Ornate Fruit-Dove (Eastern),Ptilinopus ornatus gestroi,Ptilinopus ornatus,Ptilinopus_ornatus
Ptilinopus fasciatus,22728271,Samoan Fruit-dove,2648,Crimson-crowned Fruit-Dove (Samoan),Ptilinopus porphyraceus fasciatus,Ptilinopus porphyraceus,Ptilinopus_porphyraceus
Macropygia amboinensis,22690561,Slender-billed Cuckoo-dove,2119,Sultan's Cuckoo-Dove,Macropygia doreya,Macropygia doreya,Macropygia_amboinensis
Macropygia amboinensis,22690561,Slender-billed Cuckoo-dove,2120,Sultan's Cuckoo-Dove (Sulawesi),Macropygia doreya [albicapilla Group],Macropygia doreya,Macropygia_amboinensis
Macropygia amboinensis,22690561,Slender-billed Cuckoo-dove,2125,Sultan's Cuckoo-Dove (Sultan's),Macropygia doreya [doreya Group],Macropygia doreya,Macropygia_amboinensis
Macropygia emiliana,232609896,Ruddy Cuckoo-dove,2143,Barusan Cuckoo-Dove,Macropygia modiglianii,Macropygia modiglianii,Macropygia_emiliana
Ramphiculus fischeri,22691332,Red-eared Fruit-dove,2606,Red-eared Fruit-Dove (Red-eared),Ptilinopus fischeri fischeri/centralis,Ptilinopus fischeri,Ptilinopus_fischeri
