city_id,city_avg_ndvi,city_avg_elevation,city_avg_temp,city_avg_min_monthly_temp,city_avg_max_monthly_temp,city_avg_monthly_temp,city_avg_rainfall,city_avg_max_monthly_rainfall,city_avg_min_monthly_rainfall,city_avg_soil_moisture,city_max_elev,city_min_elev,city_elev_range,region_20km_avg_ndvi,region_20km_avg_elevation,region_20km_avg_soil_moisture,region_20km_max_elev,region_20km_min_elev,region_20km_elev_range,region_50km_avg_ndvi,region_50km_avg_elevation,region_50km_avg_soil_moisture,region_50km_max_elev,region_50km_min_elev,region_50km_elev_range
724,2835.4206888016456,14.377525521504344,282.22910335932914,335.2227270829368,226.39792344200148,108.82480364093544,445.5595943381784,100.141085321667,2.1591192721840495,0.19185177979007223,30,-10,40,5352.990259996168,13.582501281181136,0.18010602636671733,122,-10,132,5758.025652172746,31.38260894553493,0.1834060425621902,259,-38,297
909,3734.221291387354,56.01931635986245,267.347606366248,318.65945501058934,210.8932266001244,107.76622841046505,669.5084645655531,131.85423263226323,4.09914934960543,0.21326398939446664,442,-41,483,6870.398747327484,52.66283099297899,0.20506865482914208,1219,-980,2199,7139.284109423133,-19.589336389511654,0.20592929193556347,1753,-1193,2946
2237,3802.2055714233657,174.7742568398433,138.20000159222153,279.4083658854168,20.70665973165763,258.701706153759,614.4292452162593,84.4531709975091,13.933449565500451,0.1596798023726339,553,-82,635,5083.087574043632,146.21345969813552,0.15204393135763428,750,-476,1226,5413.269774807796,-57.459613493950044,0.14635060848257245,750,-2161,2911
4446,4356.346264945728,1181.5847809868424,215.62469133051337,284.026560780092,154.08412476677157,129.94243601332045,1305.226060037986,185.1428744528212,62.26957483346119,0.29758797709654056,1204,1158,46,5803.6473922185505,1174.4661966482267,0.2845796280521086,1219,1128,91,5189.590425783635,1167.0492113088426,0.2733777892847881,1280,1097,183
5002,2194.1317259852317,1306.784055300806,111.71036536910718,317.62093911692205,-76.13297779452138,393.7539169114432,325.9660246561857,56.44263601027371,14.194867447988708,0.14629368636918635,1890,976,914,3118.6824806424133,1503.643226804288,0.13947624298884764,3048,775,2273,2883.954137742988,1690.9676992373943,0.15314809913905506,3755,775,2980
5734,895.0229633298653,4.771601353997875,254.58073602585867,433.1850572599664,83.1980574409233,349.9869998190429,97.45198176642758,21.79907022567923,0,0.05523015797822064,53,-21,74,951.9058615498612,10.741949697172457,0.0671312079273014,91,-25,116,895.8741335735498,34.42567253351726,0.07087033795338567,198,-25,223
5894,973.5685052133824,18.672143371125223,269.5250318410719,409.539564463849,128.60965180022544,280.92991266362327,76.05597481569768,18.206020978431734,0,0.05466545174690406,30,-10,40,789.4154424893843,12.238846470012676,0.05902395562075767,91,-19,110,821.1648026137851,14.428203524676226,0.05673946643868217,91,-30,121
9124,4158.4644585601955,68.52157939002257,263.450651439364,398.059079574462,110.37467723134584,287.68440234311595,957.3767945937176,279.591105602526,1.8949507916131791,0.17213827378611107,69,61,8,4855.525409322575,71.37026982639775,0.1723814584633755,122,61,61,4547.3682440283465,95.90017302419496,0.16405713079946155,351,61,290
9679,5023.406593069484,15.261240443511982,263.0079456067761,375.9769848590155,117.17520606938488,258.80177878963065,1353.509751352687,337.4059631835692,1.690556533487494,0.16824839834389815,30,0,30,5258.528234649355,15.585979163526256,0.17574145936304117,30,0,30,5191.944722036437,19.793837575611295,0.18095127709188527,61,0,61
10774,3664.108962087561,1.407972962463672,280.250823703009,349.2389485232075,201.2653273912623,147.9736211319453,1422.0704644716852,310.3967962185597,7.12398981962269,0.3579164237305522,30,0,30,4953.476061103979,6.016518324384429,0.3600371586261156,30,-13,43,5097.986348521434,17.134627608238862,0.3303820534834169,274,-20,294
178,2986.259433556808,2271.2700386074976,165.7176250904863,273.5960174135901,49.0602867411031,224.53573067248695,841.5923303244348,166.1164458434788,5.518227053034126,0.24830453860084803,2624,2105,519,4627.507678229637,2326.5851653192576,0.229650114505681,3539,1759,1780,4535.182212598878,2304.31112297007,0.2292130303197391,3986,1209,2777
821,4335.361459186273,1.5382675516855704,258.27308349370566,320.236901317139,189.07504613628544,131.1618551808537,1607.7288604896798,219.43435271874444,53.265756428020936,0.19093924351474673,80,-104,184,7203.519279783565,-80.70556442955075,0.17842310809535128,450,-1065,1515,7202.151501516516,-94.23499504861442,0.1782337691280487,1070,-1568,2638
1223,5038.865296899502,22.515746970906548,191.53647449767195,293.3894258488895,99.8520623190472,193.53736352984205,1432.5802150044335,140.28811585936683,99.95173187682498,0.3143989465550394,45,-10,55,5419.503121222051,22.801014554659275,0.2863800766163785,106,-10,116,5543.655135697659,36.309206603592585,0.29493167696201844,229,-10,239
1308,3626.713339434713,789.4965592038355,180.64444979308388,257.166729752225,93.47508142855284,163.6916483236721,1476.3340410569328,236.2944198526555,39.94599607278392,0.3186480638358354,853,426,427,7275.336248767178,736.0136478105924,0.29870431309539763,1006,-10,1016,7059.282843734415,629.5532532025011,0.2830527427623385,1067,-10,1077
1329,4637.740461250581,750.3835108693924,191.57485402464343,266.53920464755515,97.85275425415516,168.6864503933998,1272.3283461737053,221.0920821874808,24.904628675542316,0.27945856638327904,808,686,122,6959.137137135829,748.3002489122023,0.2783175280512694,914,610,304,7137.093361599186,821.7083314588212,0.27456978877046173,1524,305,1219
1806,4965.673153882211,129.3176647288336,91.001593296274,201.6600514571715,2.5278214900692557,199.13222996710223,710.353265989356,69.81387177248065,48.487246036301414,0.3022074063417224,166,73,93,6263.327553122504,103.88497295145578,0.2775663599365513,171,46,125,6430.371056893966,116.4093930209638,0.3125695015579911,358,19,339
