city_id,city_name,ebird_species_name,seasonal,presence,origin,relative_abundance_proxy
93,Durango,Columba livia,Resident,Extant,Introduced,60.92715026256112
93,Durango,Columbina inca,Resident,Extant,Native,56.54183785142009
93,Durango,Leptotila verreauxi,Resident,Extant,Native,0
93,Durango,Patagioenas fasciata,Resident,Extant,Native,0
93,Durango,Streptopelia decaocto,Resident,Extant,Introduced,41.57590581078831
93,Durango,Zenaida asiatica,Resident,Extant,Native,51.93391781603213
93,Durango,Zenaida macroura,Resident,Extant,Native,51.66615188259103
101,Portland,Columba livia,Resident,Extant,Introduced,30.281527022862637
101,Portland,Patagioenas fasciata,Breeding Season,Extant,Native,13.919163624468112
101,Portland,Streptopelia decaocto,Resident,Extant,Introduced,25.774274153802757
101,Portland,Zenaida macroura,Resident,Extant,Native,44.32875274887455
111,Chihuahua,Columba livia,Resident,Extant,Introduced,56.44186113985207
111,Chihuahua,Columbina inca,Resident,Extant,Native,51.888438409394205
111,Chihuahua,Streptopelia decaocto,Resident,Extant,Introduced,46.00025439208345
111,Chihuahua,Zenaida asiatica,Breeding Season,Extant,Native,65.27163295195867
111,Chihuahua,Zenaida macroura,Resident,Extant,Native,33.46331740330164
112,Aguascalientes,Columba livia,Resident,Extant,Introduced,54.33579237828076
112,Aguascalientes,Columbina inca,Resident,Extant,Native,70.07027921742835
112,Aguascalientes,Columbina passerina,Resident,Extant,Native,2.216198907994058
112,Aguascalientes,Patagioenas fasciata,Resident,Extant,Native,0
112,Aguascalientes,Streptopelia decaocto,Resident,Extant,Introduced,30.392602927989273
112,Aguascalientes,Zenaida asiatica,Resident,Extant,Native,85.21459148631641
112,Aguascalientes,Zenaida macroura,Resident,Extant,Native,12.614963971725942
116,Morelia,Columba livia,Resident,Extant,Introduced,44.920226082918546
116,Morelia,Columbina inca,Resident,Extant,Native,71.94663011647356
116,Morelia,Leptotila verreauxi,Resident,Extant,Native,0
116,Morelia,Patagioenas fasciata,Resident,Extant,Native,0
116,Morelia,Streptopelia decaocto,Resident,Extant,Introduced,56.169581307680886
116,Morelia,Zenaida asiatica,Resident,Extant,Native,1.9859995007811748
116,Morelia,Zenaida macroura,Resident,Extant,Native,1.0681258406003125
122,Acapulco,Columba livia,Resident,Extant,Introduced,55.433340825773385
122,Acapulco,Columbina inca,Resident,Extant,Native,29.995020818782187
122,Acapulco,Columbina passerina,Resident,Extant,Native,9.02309350328544
122,Acapulco,Columbina talpacoti,Resident,Extant,Native,34.370312106040124
122,Acapulco,Geotrygon montana,Resident,Extant,Native,0
122,Acapulco,Leptotila verreauxi,Resident,Extant,Native,3.08083061570793
122,Acapulco,Patagioenas flavirostris,Resident,Extant,Native,3.08083061570793
122,Acapulco,Streptopelia decaocto,Resident,Extant,Introduced,26.24861234078821
122,Acapulco,Zenaida asiatica,Resident,Extant,Native,15.443567681896727
122,Acapulco,Zenaida macroura,Non-breeding Season,Extant,Native,6.161661270660144
139,Seattle,Columba livia,Resident,Extant,Introduced,35.14147843607764
139,Seattle,Patagioenas fasciata,Breeding Season,Extant,Native,20.671128009704617
139,Seattle,Streptopelia decaocto,Resident,Extant,Introduced,11.344123968558735
139,Seattle,Zenaida macroura,Resident,Extant,Native,9.29855357919742
