city_id,city_name,total_city_checklists,total_city_effort,total_city_area_m2,total_city_area_surveyed_m2,percentage_total_city_area_surveyed,jetz_species_name,percentage_checklists,percentage_effort,percentage_surveyed_area,seasonal,presence,origin
49,Sacramento,29631,1084486,830688076,605945417.53,72,Patagioenas_fasciata,0.04,0.05,0.6332640579479291,Resident,Extant,Native
49,Sacramento,29631,1084486,830688076,605945417.53,72,Streptopelia_decaocto,2.22,3.33,14.243976533699392,Resident,Extant,Introduced
49,Sacramento,29631,1084486,830688076,605945417.53,72,Zenaida_asiatica,0.01,0.01,0.13494719430888605,NA,NA,NA
49,Sacramento,29631,1084486,830688076,605945417.53,72,Zenaida_macroura,56.11,64.23,71.06337739713676,Resident,Extant,Native
57,Mexicali,98,2875,186124795,25666502.78,13,Columba_livia,64.29,46.61,82.12996975351855,Resident,Extant,Introduced
57,Mexicali,98,2875,186124795,25666502.78,13,Columbina_inca,16.33,12.35,23.23091584041665,NA,NA,NA
57,Mexicali,98,2875,186124795,25666502.78,13,Columbina_passerina,4.08,2.09,10.67771099744661,Resident,Extant,Native
57,Mexicali,98,2875,186124795,25666502.78,13,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
57,Mexicali,98,2875,186124795,25666502.78,13,Streptopelia_decaocto,53.06,40.7,75.9220845045723,Resident,Extant,Introduced
57,Mexicali,98,2875,186124795,25666502.78,13,Zenaida_asiatica,11.22,6.02,10.663411191853852,Resident,Extant,Native
57,Mexicali,98,2875,186124795,25666502.78,13,Zenaida_macroura,29.59,26.71,35.21367424876728,Resident,Extant,Native
65,Hermosillo,1005,21788,151339620,67937376.55,44,Columba_livia,41.19,44.66,70.30434720252677,Resident,Extant,Introduced
65,Hermosillo,1005,21788,151339620,67937376.55,44,Columbina_inca,45.57,52.54,61.79350718540514,Resident,Extant,Native
65,Hermosillo,1005,21788,151339620,67937376.55,44,Columbina_passerina,0.4,2.09,3.402470962797282,Resident,Extant,Native
65,Hermosillo,1005,21788,151339620,67937376.55,44,Columbina_talpacoti,0.1,0.11,0.8911520885037767,NA,NA,NA
65,Hermosillo,1005,21788,151339620,67937376.55,44,Patagioenas_flavirostris,0,0,0,Resident,Extant,Native
65,Hermosillo,1005,21788,151339620,67937376.55,44,Streptopelia_decaocto,61.49,60.82,86.48531452602876,Resident,Extant,Introduced
65,Hermosillo,1005,21788,151339620,67937376.55,44,Zenaida_asiatica,70.55,77.29,89.87028307615743,Resident,Extant,Native
65,Hermosillo,1005,21788,151339620,67937376.55,44,Zenaida_macroura,37.51,42.17,58.70675804009981,Resident,Extant,Native
73,Culiacán,124,4927,132746249,24314160.96,18,Columba_livia,16.13,19.67,33.96959954155046,Resident,Extant,Introduced
73,Culiacán,124,4927,132746249,24314160.96,18,Columbina_inca,19.35,20.58,43.629911011331885,Resident,Extant,Native
73,Culiacán,124,4927,132746249,24314160.96,18,Columbina_passerina,4.84,8.06,19.17915278948618,Resident,Extant,Native
73,Culiacán,124,4927,132746249,24314160.96,18,Columbina_talpacoti,4.84,5.58,15.285029148708901,Resident,Extant,Native
73,Culiacán,124,4927,132746249,24314160.96,18,Geotrygon_montana,0.81,0.61,3.2287330058046964,NA,NA,NA
73,Culiacán,124,4927,132746249,24314160.96,18,Leptotila_verreauxi,0.81,0.3,3.2287330058046964,NA,NA,NA
73,Culiacán,124,4927,132746249,24314160.96,18,Patagioenas_flavirostris,3.23,3.11,12.103885734907958,Resident,Extant,Native
73,Culiacán,124,4927,132746249,24314160.96,18,Streptopelia_decaocto,12.9,13.01,34.77789862422627,Resident,Extant,Introduced
73,Culiacán,124,4927,132746249,24314160.96,18,Zenaida_asiatica,33.06,38.52,52.472546229290074,Resident,Extant,Native
