city_id,mntd_normalised,mntd_actual,mntd_min,mntd_max,mntd_mean,mntd_sd,fd_normalised,fd_actual,fd_min,fd_max,fd_mean,fd_sd,FRic_normalised,FRic_actual,FRic_min,FRic_max,FRic_mean,FRic_sd,mass_fd_normalised,mass_fd_actual,mass_fd_min,mass_fd_max,mass_fd_mean,mass_fd_sd,mass_var_normalised,mass_var_actual,mass_var_min,mass_var_max,mass_var_mean,mass_var_sd,mass_sdndr_normalised,mass_sdndr_actual,mass_sdndr_min,mass_sdndr_max,mass_sdndr_mean,mass_sdndr_sd,locomotory_trait_fd_normalised,locomotory_trait_fd_actual,locomotory_trait_fd_min,locomotory_trait_fd_max,locomotory_trait_fd_mean,locomotory_trait_fd_sd,locomotory_trait_var_normalised,locomotory_trait_var_actual,locomotory_trait_var_min,locomotory_trait_var_max,locomotory_trait_var_mean,locomotory_trait_var_sd,locomotory_trait_sdndr_normalised,locomotory_trait_sdndr_actual,locomotory_trait_sdndr_min,locomotory_trait_sdndr_max,locomotory_trait_sdndr_mean,locomotory_trait_sdndr_sd,trophic_trait_fd_normalised,trophic_trait_fd_actual,trophic_trait_fd_min,trophic_trait_fd_max,trophic_trait_fd_mean,trophic_trait_fd_sd,trophic_trait_var_normalised,trophic_trait_var_actual,trophic_trait_var_min,trophic_trait_var_max,trophic_trait_var_mean,trophic_trait_var_sd,trophic_trait_sdndr_normalised,trophic_trait_sdndr_actual,trophic_trait_sdndr_min,trophic_trait_sdndr_max,trophic_trait_sdndr_mean,trophic_trait_sdndr_sd,gape_width_fd_normalised,gape_width_fd_actual,gape_width_fd_min,gape_width_fd_max,gape_width_fd_mean,gape_width_fd_sd,gape_width_var_normalised,gape_width_var_actual,gape_width_var_min,gape_width_var_max,gape_width_var_mean,gape_width_var_sd,gape_width_sdndr_normalised,gape_width_sdndr_actual,gape_width_sdndr_min,gape_width_sdndr_max,gape_width_sdndr_mean,gape_width_sdndr_sd,urban_pool_size,is_urban_threshold
10,0.6144589706809575,52.594989404200014,32.1015223406,65.453573562,53.07699310828001,12.56176123796975,0.3453005284974368,1058.076421614552,1012.2394474050977,1144.9846082912168,1081.5045022071938,56.86587104108924,NA,NA,NA,NA,NA,NA,0.3453167446873294,1058.0425290178596,1012.2026216375523,1144.950042912514,1081.4697326896808,56.866285622153164,0.5049884589074919,27683.044999999995,73.20500000000027,54747.405000000006,21897.853,19838.346014102364,NA,NA,NA,NA,NA,NA,0.9999999999999996,7.750040593573797,5.69489112532604,7.7500405935737975,7.187894708405777,0.7815040270068019,0.2899480333108651,9.331749174917487,0.3097194719471942,31.42574257425742,10.010290429042902,10.67977107396714,NA,NA,NA,NA,NA,NA,1,0.1572437432327402,0.11365810821525343,0.1572437432327402,0.14575486331182597,0.016381637651545017,0.23225806451612888,0.004224422442244221,6.600660066006629e-5,0.017970297029702965,0.005897689768976895,0.006167179828825094,NA,NA,NA,NA,NA,NA,1,2.737125357032577,1.9784347766884531,2.737125357032577,2.5371396284500918,0.285153449567763,0.23225806451612896,1.2799999999999994,0.020000000000000035,5.444999999999999,1.7869999999999997,1.8686554881340038,NA,NA,NA,NA,NA,NA,2,high
29,0.6144589706809575,52.594989404200014,32.1015223406,65.453573562,53.07699310828001,12.56176123796975,0.09099759903432086,1024.3189383291592,1012.2394474050977,1144.9846082912168,1081.5045022071938,56.86587104108924,NA,NA,NA,NA,NA,NA,0.09100629996597105,1024.2834732778106,1012.2026216375523,1144.950042912514,1081.4697326896808,56.866285622153164,0.006946603699734053,453.0049999999998,73.20500000000027,54747.405000000006,21897.853,19838.346014102364,NA,NA,NA,NA,NA,NA,0.24673077426900317,6.20195974486534,5.69489112532604,7.7500405935737975,7.187894708405777,0.7815040270068019,0.03954180324782523,1.5401031353135295,0.3097194719471942,31.42574257425742,10.010290429042902,10.67977107396714,NA,NA,NA,NA,NA,NA,0.34356785893587793,0.128632731518572,0.11365810821525343,0.1572437432327402,0.14575486331182597,0.016381637651545017,0.10783410138248835,0.001996699669966994,6.600660066006629e-5,0.017970297029702965,0.005897689768976895,0.006167179828825094,NA,NA,NA,NA,NA,NA,0.343567858935878,2.2390964749721025,1.9784347766884531,2.737125357032577,2.5371396284500918,0.285153449567763,0.10783410138248843,0.6049999999999996,0.020000000000000035,5.444999999999999,1.7869999999999997,1.8686554881340038,NA,NA,NA,NA,NA,NA,2,high
46,0.9999999999853613,52.594989404200014,32.1015223406,52.59498940450001,44.82593947281667,8.932886623801327,0.2797604595905986,1058.076421614552,1024.3189383291592,1144.9846082912168,1095.9042677386522,55.159751191806485,NA,NA,NA,NA,NA,NA,0.27977140513937393,1058.0425290178596,1024.2834732778106,1144.9500429125137,1095.8697766751784,55.15980015652597,0.9043459462646379,27683.044999999995,73.20500000000027,30603.38,17245.966666666667,13559.16121453118,NA,NA,NA,NA,NA,NA,0.9999999999999996,7.750040593573797,5.69489112532604,7.7500405935737975,7.149502207414428,0.9440673208486289,1,9.331749174917487,0.3097194719471942,9.331749174917487,3.7155686193619353,3.434891448059777,NA,NA,NA,NA,NA,NA,1,0.1572437432327402,0.128632731518572,0.1572437432327402,0.15012838448649232,0.011942349316427152,0.24679487179487167,0.004224422442244221,4.1254125412541265e-4,0.01585808580858085,0.005467546754675465,0.00550402310597689,NA,NA,NA,NA,NA,NA,1,2.737125357032577,2.2390964749721025,2.737125357032577,2.6132690531292018,0.2078792228200238,0.24679487179487172,1.2799999999999994,0.125,4.804999999999999,1.6566666666666663,1.6677190011109981,NA,NA,NA,NA,NA,NA,2,high
57,0.0637966519179142,32.1015223406,29.8287797715,65.453573562,52.25581684198001,12.260336168364836,0.3945219812088695,1058.076421614552,1001.4481231019084,1144.9846082912168,1071.2128034491957,56.72160066608303,NA,NA,NA,NA,NA,NA,0.39457358886048516,1058.0425290178596,1001.4024336645465,1144.950042912514,1071.1772852698232,56.7229138745512,0.38446745995868964,21053.519999999997,8,54747.405000000006,17964.798666666666,17871.608976031097,NA,NA,NA,NA,NA,NA,1,7.7500405935737975,5.69489112532604,7.7500405935737975,7.077338561449248,0.7990634796775873,0.095773377718122,3.2898061056105616,0.3097194719471942,31.42574257425742,8.019321507150714,9.316643399498572,NA,NA,NA,NA,NA,NA,1,0.1572437432327402,0.10733233417017736,0.1572437432327402,0.1453183199637386,0.017507870812304323,0.022058823529411783,4.1254125412541265e-4,1.650165016501643e-5,0.017970297029702965,0.004797579757975796,0.005340727060791807,NA,NA,NA,NA,NA,NA,1,2.737125357032577,1.868322690918473,2.737125357032577,2.529540764145995,0.3047576721515675,0.022058823529411773,0.125,0.0049999999999999645,5.444999999999999,1.4536666666666664,1.618240299419918,NA,NA,NA,NA,NA,NA,2,high
65,0.6439023672526022,37.86283555694,26.11953951596,44.3572361579,35.38321949336667,6.559697128794766,0.6766957489564885,1133.100522607065,1069.5945671269633,1163.4416994283442,1136.8908471154455,22.0174495646945,0.7819534956314218,9.600583333333326,1.9118234323432315,11.744581958195816,6.726823471632875,2.5269157576694523,0.6767443045148039,1132.9946788602274,1069.461776088215,1163.3419939905477,1136.7767086858746,22.025984093615076,0.5895736492227721,13031.737,3123.433,19929.313,13336.639523809523,4614.183434286576,0.9778790163140144,0.285397143541497,0.10804163684600068,0.28940917182391074,0.20133513742692255,0.060923771743201675,0.9612986832765528,10.347834272061547,8.385105522547855,10.426852571263037,10.105951044409965,0.4572485066800187,0.46019340277903875,7.065924092409239,2.674610561056104,12.21693234323432,8.220337498035516,2.5045592407836494,0.22892638394058337,0.15187220660165246,0.11797074874881734,0.2660596551879898,0.17774693290236704,0.04221833097522841,0.7599337812048012,0.19732607177055522,0.17730172426657403,0.20365184581563128,0.19611998277144432,0.006982157503650489,0.4799999999999998,0.0013696369636963686,3.3993399339933995e-4,0.002485148514851484,0.0016910262454816903,4.8480430099487456e-4,0.383150360760586,0.18399501804849677,0.10206207261596575,0.31590226128207366,0.20967883093952808,0.05625681803448204,0.7599337812048004,3.4348342486822694,3.086272530521856,3.54494633445225,3.413839983890326,0.1215376838349003,0.4799999999999998,0.41499999999999987,0.10300000000000001,0.7529999999999999,0.5123809523809523,0.14689570320144701,0.3831503607605861,0.18399501804849688,0.10206207261596587,0.3159022612820737,0.20967883093952816,0.05625681803448203,5,high
73,0.9999999999674106,65.453573561,7.152192928,65.4535735629,52.58518789049286,18.147962686967468,0.5131584759055751,1024.3189383291592,988.7366434430307,1058.076421614552,1033.5464966771506,23.838452058702543,NA,NA,NA,NA,NA,NA,0.5161522940104446,1024.2834732778108,988.2704595791806,1058.0425290178596,1033.4938533528482,23.873000839113153,0.10949394570702164,5565.125,1.125,50816.719999999994,13091.931428571428,15372.317062872808,NA,NA,NA,NA,NA,NA,0.5407187352974989,6.740926326211802,5.552880933652447,7.7500405935737975,6.962699808157466,0.7733361739343928,0.24387967372282435,7.697838283828385,0.0446204620462047,31.42574257425742,8.774845444365864,9.021122475121098,NA,NA,NA,NA,NA,NA,1,0.1572437432327402,0.10733233417017736,0.1572437432327402,0.13980898827443808,0.01996910277872516,0.14860681114551091,8.085808580858087e-4,1.650165016501643e-5,0.005346534653465345,0.0015411362564827903,0.0015919339394751583,NA,NA,NA,NA,NA,NA,0.9999999999999994,2.7371253570325766,1.868322690918473,2.737125357032577,2.4336404048880262,0.3476000790183289,0.14860681114551094,0.24500000000000013,0.0049999999999999645,1.6199999999999997,0.4669642857142856,0.48235598366097304,NA,NA,NA,NA,NA,NA,2,high
74,0.7528313967308476,52.594989404200014,13.430039877999999,65.453573562,53.54929334831429,14.912464517168608,0.42220734413333116,1058.076421614552,994.5704661344502,1144.9846082912168,1063.1762319924558,56.147689682955594,NA,NA,NA,NA,NA,NA,0.42231272805354675,1058.0425290178596,994.5096262458474,1144.950042912514,1063.1395735912736,56.15028322161224,0.5055781114171772,27683.044999999995,8,54747.405000000006,18126.646666666667,19066.78675188424,NA,NA,NA,NA,NA,NA,0.9999999999999996,7.750040593573797,5.69489112532604,7.7500405935737975,7.031916687218183,0.7682594841461315,0.29253233388938227,9.331749174917487,0.1960561056105611,31.42574257425742,9.129727722772277,9.474350734719671,NA,NA,NA,NA,NA,NA,1,0.1572437432327402,0.10733233417017736,0.1572437432327402,0.1440162349707752,0.017498877458117727,0.23437499999999986,0.004224422442244221,1.650165016501643e-5,0.017970297029702965,0.004067263869244065,0.004893949947463869,NA,NA,NA,NA,NA,NA,1,2.737125357032577,1.868322690918473,2.737125357032577,2.5068755071508306,0.30460112577787507,0.23437499999999992,1.2799999999999994,0.0049999999999999645,5.444999999999999,1.2323809523809521,1.4828668340815527,NA,NA,NA,NA,NA,NA,2,high
79,0.3376396139898302,30.965151056049997,21.62940982475,49.279427312275004,40.044900142340715,8.355134782484937,0.30672916757923696,1108.5218778165179,1045.0159223364162,1252.058363005826,1165.3208764996452,69.82145774884333,0.19445752545137848,2.7977439493949348,0.2678960396039603,13.277667216721655,4.990919629105766,3.0291277545311988,0.30680290555724704,1108.4375168018555,1044.9046140298433,1251.985126049823,1165.2357868121746,69.82828197783512,0.2943801774205258,11669.949166666665,2384.6066666666666,33926.61666666667,18126.646666666667,7616.154237704845,0.7731483688035298,0.45523570334666036,0.25490780587325645,0.51401447356682906,0.3389304888835893,0.07060995985906524,0.6119695796162382,9.001326769864948,7.57756460169772,9.904089016620532,9.2232511426446,0.6696622315883338,0.07785893937742984,3.440205583058304,2.2488029427942786,17.550869086908687,9.129727722772277,3.708158408893251,0.41639150426666155,0.22602308508496083,0.08541780655708751,0.4230934725760277,0.22205555222299533,0.06855491880175568,0.49661597738175445,0.18557402269097595,0.1502254956981479,0.2214042909902197,0.19860252928922562,0.01660275500777799,0.1781076066790352,0.0017711771177117699,4.5104510451045104e-4,0.007863036303630359,0.004067263869244065,0.002266087724692563,0.6513787449552653,0.32072508996543014,0.10925912955951485,0.4339027597725918,0.23866613723322294,0.0727987790034518,0.49661597738175484,3.2302675621388386,2.6149594578118296,3.8539612868931643,3.457053410918546,0.2890024162114118,0.17810760667903522,0.5366666666666665,0.1366666666666667,2.3824999999999994,1.2323809523809521,0.6866245805818466,0.6513787449552653,0.3207250899654303,0.10925912955951486,0.433902759772592,0.238666137233223,0.07279877900345183,4,high
84,0.31258026711273096,38.93267802846667,30.77121777216667,56.881184123166676,45.23973277723667,9.868037219500332,0.3851465805835948,1094.7345573291602,1019.1491109249972,1215.4002272912178,1128.0111344051295,68.18867995284559,NA,NA,NA,NA,NA,NA,0.38523349082190533,1094.6805427164895,1019.066788304219,1215.347112351193,1127.9512321833338,68.19430862853503,0.4328512427832604,16396.52333333333,2036.1033333333337,35212.443333333336,21640.067,11088.2580106915,0.7143101075546266,0.5261980339386505,0.2031712081451937,0.6553933206101967,0.44999165144070624,0.16669708573054626,0.725399354607709,8.557581514423934,7.133819346256704,9.096548095770398,8.387001989421213,0.6960449567539365,0.169145041776207,4.720552805280526,1.7267409240924096,19.42641364136413,10.922635038503849,5.517849222081367,0.21662541777721367,0.13258252147247793,0.004599068495522664,0.59540440560780294,0.29935371722115167,0.20332451446461403,0.7499828882369931,0.1820590816360554,0.13847344661856864,0.1965889525869045,0.17363527095798068,0.01985201104542667,0.15541922290388535,0.002211221122112209,5.390539053905389e-4,0.011298129812981294,0.004774477447744773,0.003476977887165234,0.42672413793103403,0.265165042944955,1.688016085940305e-16,0.6213968683154506,0.2888296253668357,0.17814812021721738,0.7499828882369934,3.1690833516125227,2.4103927712683992,3.4220032923132186,3.022450962076534,0.34556187548971024,0.1554192229038854,0.6699999999999997,0.16333333333333327,3.423333333333333,1.4466666666666663,1.053524299811066,0.4267241379310345,0.26516504294495524,0,0.6213968683154507,0.28882962536683576,0.17814812021721743,3,high
88,0.7953570520590469,45.562901911725,21.62940982475,51.7209165575,42.187493504322504,8.094783433934353,0.3431662857237461,1108.5218778165179,1033.5304737249494,1252.058363005826,1148.6278050351839,72.3644442824232,0.20102007987607323,2.748265951595161,0.09911166116611783,13.277667216721655,3.491488959610246,2.793972970033893,0.34501244512761997,1108.4375168018555,1032.824306611144,1251.985126049823,1148.4140963296331,72.45196680411033,0.4828973360709272,16508.489166666666,242.5366666666666,33926.61666666667,15635.125714285714,7926.683970639851,0.22315633180356514,0.32149346357895714,0.25490780587325645,0.5532890221602904,0.3619438801060926,0.08393399580176365,0.8744253889968682,9.540293351211412,7.0070410982316265,9.904089016620532,9.078082828586988,0.7653042911435359,0.49350487953249345,9.149776540154013,0.9641494774477446,17.550869086908687,7.952544642857142,3.6893575448373843,0.4695916079145343,0.21358862817491742,0.028105671615004487,0.4230934725760277,0.21169529697916867,0.07493597844052614,0.3717884896673605,0.17251073336724,0.1435745205724659,0.2214042909902197,0.19335685154779947,0.019299259665820755,0.017857142857142867,4.5104510451045104e-4,3.1628162816281627e-4,0.007863036303630359,0.0035077793493635064,0.0022633350237997274,0.2296748339122494,0.19094065395649365,0.10925912955951485,0.46489898354624465,0.25577357148371743,0.07444008837376816,0.37178848966736044,3.0028762541023237,2.4991866309175217,3.8539612868931643,3.3657424482964773,0.33594019016125354,0.017857142857142856,0.1366666666666667,0.09583333333333337,2.3824999999999994,1.0628571428571427,0.6857905122113175,0.2296748339122497,0.1909406539564938,0.10925912955951486,0.46489898354624476,0.25577357148371743,0.07444008837376817,4,high
