city_id,city_name,jetz_species_name,total_city_checklists,total_city_effort,seasonal,presence,origin,total_presence_checklists,total_presence_effort,percentage_checklists,percentage_effort
347,San Pedro Sula,Columbina_talpacoti,1563,48576,Resident,Extant,Native,635,23972,40.626999360204735,49.349472990777336
347,San Pedro Sula,Geotrygon_albifacies,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Geotrygon_montana,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Leptotila_cassini,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Leptotila_plumbeiceps,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Leptotila_verreauxi,1563,48576,Resident,Extant,Native,1,52,0.06397952655150352,0.10704874835309618
347,San Pedro Sula,Patagioenas_cayennensis,1563,48576,Resident,Extant,Native,33,1824,2.111324376199616,3.7549407114624507
347,San Pedro Sula,Patagioenas_flavirostris,1563,48576,Resident,Extant,Native,10,464,0.6397952655150352,0.9552042160737813
347,San Pedro Sula,Patagioenas_nigrirostris,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Patagioenas_speciosa,1563,48576,Resident,Extant,Native,0,0,0,0
347,San Pedro Sula,Zenaida_asiatica,1563,48576,NA,NA,NA,1185,38889,75.81573896353167,80.0580533596838
347,San Pedro Sula,Zenaida_macroura,1563,48576,Non-breeding Season,Extant,Native,0,0,0,0
351,Oklahoma City,Columba_livia,5994,194722,Resident,Extant,Introduced,712,25222,11.878545211878546,12.952825053152699
351,Oklahoma City,Columbina_inca,5994,194722,NA,NA,NA,2,45,0.0333667000333667,0.02310986945491521
351,Oklahoma City,Streptopelia_decaocto,5994,194722,Resident,Extant,Introduced,2192,89780,36.5699032365699,46.10675732582862
351,Oklahoma City,Zenaida_asiatica,5994,194722,NA,NA,NA,725,31421,12.095428762095429,16.13633795873091
351,Oklahoma City,Zenaida_macroura,5994,194722,Resident,Extant,Native,1257,54204,20.97097097097097,27.836608087427205
352,Mérida,Claravis_pretiosa,4988,101789,Resident,Extant,Native,0,0,0,0
352,Mérida,Columba_livia,4988,101789,Resident,Extant,Introduced,512,10932,10.264635124298316,10.739863835974418
352,Mérida,Columbina_passerina,4988,101789,Resident,Extant,Native,18,688,0.3608660785886127,0.6759080057766557
