city_id,city_name,total_city_checklists,total_city_locations,total_city_effort,total_city_area_m2,ebird_species_name,seasonal,presence,origin,buf_250m_total_presence_area_m2,buf_250m_total_city_area_surveyed_m2,buf_250m_percentage_survey_area_present,buf_250m_percentage_total_city_area_surveyed,buf_500m_total_presence_area_m2,buf_500m_total_city_area_surveyed_m2,buf_500m_percentage_survey_area_present,buf_500m_percentage_total_city_area_surveyed,buf_1km_total_presence_area_m2,buf_1km_total_city_area_surveyed_m2,buf_1km_percentage_survey_area_present,buf_1km_percentage_total_city_area_surveyed,percentage_checklists,percentage_locations,percentage_effort
19,Concord,12338,1742,433900,421668846.47,Patagioenas fasciata,Resident,Extant,Native,13684217.48,172917320.4,7.913734406909072,41,48602997.4,341277991.18,14.241468438076147,80,134679900.73,415669516.51,32.400716285568635,98,6.81,4.99,12.84
19,Concord,12338,1742,433900,421668846.47,Streptopelia decaocto,Resident,Extant,Introduced,16395505.89,172917320.4,9.481702499248305,41,57983280.83,341277991.18,16.990043990096602,80,171129371.12,415669516.51,41.16957446310188,98,2.25,6.26,2.61
19,Concord,12338,1742,433900,421668846.47,Zenaida macroura,Resident,Extant,Native,78136525.06,172917320.4,45.18721715051513,41,213833197.16,341277991.18,62.65660332230979,80,371966445.81,415669516.51,89.48610158692053,98,41.12,35.02,47.69
21,Tijuana,65072,7628,2357779,1793051120.44,Columba livia,Resident,Extant,Introduced,139437824.3,605654399.08,23.02267175996882,33,381001337.69,1185381586.09,32.14166156796302,66,828841428.08,1548752870.57,53.51670003846093,86,12.36,15.31,17.56
21,Tijuana,65072,7628,2357779,1793051120.44,Columbina passerina,Resident,Extant,Native,1186588.9,605654399.08,0.19591848120024385,33,3754611.79,1185381586.09,0.3167428812847217,66,11182589.1,1548752870.57,0.72203831305148,86,0.03,0.09,0.03
21,Tijuana,65072,7628,2357779,1793051120.44,Columbina talpacoti,NA,NA,NA,196259.84,605654399.08,0.03240459250326956,33,785039.34,1185381586.09,0.06622671966665729,66,3140157.37,1548752870.57,0.2027539338050946,86,0,0.01,0
21,Tijuana,65072,7628,2357779,1793051120.44,Patagioenas fasciata,Resident,Extant,Native,1177559.02,605654399.08,0.19442755171740408,33,4669512.96,1185381586.09,0.393924877423013,66,18264520.23,1548752870.57,1.1793050122501443,86,0.01,0.08,0.02
21,Tijuana,65072,7628,2357779,1793051120.44,Spilopelia chinensis,NA,NA,NA,196259.84,605654399.08,0.03240459250326956,33,754676.27,1185381586.09,0.0636652601032307,66,2460053.57,1548752870.57,0.15884093690781065,86,0,0.01,0
21,Tijuana,65072,7628,2357779,1793051120.44,Streptopelia decaocto,Resident,Extant,Introduced,134259313.37,605654399.08,22.167644381670854,33,409961779.72,1185381586.09,34.58479400479516,66,935753856.31,1548752870.57,60.419830309377055,86,8.89,12.01,11.22
21,Tijuana,65072,7628,2357779,1793051120.44,Streptopelia roseogrisea,NA,NA,NA,196259.84,605654399.08,0.03240459250326956,33,785039.34,1185381586.09,0.06622671966665729,66,3035760.9,1548752870.57,0.1960132541276727,86,0,0.01,0
21,Tijuana,65072,7628,2357779,1793051120.44,Zenaida asiatica,Breeding Season,Extant,Native,4716415.47,605654399.08,0.7787304900557678,33,17892371.13,1185381586.09,1.5094186833978307,66,67831996.17,1548752870.57,4.37978178823554,86,0.17,0.34,0.24
21,Tijuana,65072,7628,2357779,1793051120.44,Zenaida macroura,Resident,Extant,Native,334798812.46,605654399.08,55.27885423907849,33,829215986.47,1185381586.09,69.95350663453296,66,1346839044.11,1548752870.57,86.96281180187978,86,46.5,37.38,53.61
29,Bakersfield,2133,467,68081,319220981.73,Columba livia,Resident,Extant,Introduced,13914801.31,43243395.08,32.177865045650805,13,46957582.75,120544070.95,38.95470128056099,37,125374707.41,231655395.06,54.12121197415984,72,12.42,21.63,16.03
29,Bakersfield,2133,467,68081,319220981.73,Columbina passerina,Resident,Extant,Native,0,43243395.08,0,13,0,120544070.95,0,37,0,231655395.06,0,72,0,0,0
29,Bakersfield,2133,467,68081,319220981.73,Patagioenas fasciata,Resident,Extant,Native,196259.84,43243395.08,0.4538492864330393,13,759157.99,120544070.95,0.62977630008438,37,2713348.39,231655395.06,1.1712865091258626,72,0.05,0.21,0.01
29,Bakersfield,2133,467,68081,319220981.73,Spilopelia chinensis,NA,NA,NA,588779.51,43243395.08,1.361547836174199,13,2355118.03,120544070.95,1.9537402473962155,37,9420472.12,231655395.06,4.06658870066896,72,0.42,0.64,0.42
29,Bakersfield,2133,467,68081,319220981.73,Streptopelia decaocto,Resident,Extant,Introduced,15708448.97,43243395.08,36.325660695557026,13,52287485.13,120544070.95,43.37623967560223,37,140796109.34,231655395.06,60.778256126317736,72,21.19,28.69,20.38
29,Bakersfield,2133,467,68081,319220981.73,Zenaida macroura,Resident,Extant,Native,26153313.69,43243395.08,60.47932555160514,13,81140930.42,120544070.95,67.31225333650472,37,180466573.63,231655395.06,77.90303074239138,72,67.56,63.17,71.06
46,Fresno,3445,887,95305,353354945.35,Columba livia,Resident,Extant,Introduced,36248729.25,98218046.63,36.906383799866866,27,108002760.19,233637322.74,46.226672572425144,66,247492832.92,329978335.86,75.00275200642379,93,27.43,30.67,21.04
46,Fresno,3445,887,95305,353354945.35,Patagioenas fasciata,Resident,Extant,Native,751142.92,98218046.63,0.7647707786631636,27,2881386.44,233637322.74,1.233273180075989,66,10658883.35,329978335.86,3.230176709092274,93,0.12,0.45,0.12
46,Fresno,3445,887,95305,353354945.35,Spilopelia chinensis,NA,NA,NA,1563018.05,98218046.63,1.5913756215169803,27,5405719.73,233637322.74,2.3137226820629504,66,19460310.18,329978335.86,5.89745085212395,93,0.61,1.35,0.98
46,Fresno,3445,887,95305,353354945.35,Streptopelia decaocto,Resident,Extant,Introduced,20344428.03,98218046.63,20.71353353894328,27,64051734.65,233637322.74,27.415026802579426,66,173163849.04,329978335.86,52.477338728524366,93,8.07,14.32,5.44
46,Fresno,3445,887,95305,353354945.35,Zenaida macroura,Resident,Extant,Native,59010686.49,98218046.63,60.08130737144553,27,162648413.77,233637322.74,69.61576680580312,66,295743641.85,329978335.86,89.62516920367622,93,49.9,50.85,55.83
49,Sacramento,29631,3617,1084486,830688076.14,Columba livia,Resident,Extant,Introduced,66835747.01,304411730.5,21.955706798887633,36,216172878.53,605945417.53,35.67530544437155,72,526539757.92,791136125.24,66.55488747404478,95,7.48,13.35,7.31
49,Sacramento,29631,3617,1084486,830688076.14,Patagioenas fasciata,Resident,Extant,Native,981299.18,304411730.5,0.32235918714045747,36,3837234.54,605945417.53,0.6332640579479291,72,14278080.49,791136125.24,1.8047564805195293,95,0.04,0.14,0.05
49,Sacramento,29631,3617,1084486,830688076.14,Streptopelia decaocto,Resident,Extant,Introduced,23707166.7,304411730.5,7.787862399737581,36,86310723.08,605945417.53,14.243976533699392,72,274437051.6,791136125.24,34.68897991691967,95,2.22,4.34,3.33
49,Sacramento,29631,3617,1084486,830688076.14,Zenaida asiatica,NA,NA,NA,212644.35,304411730.5,0.06985419045801193,36,817706.34,605945417.53,0.13494719430888605,72,3205386.75,791136125.24,0.40516248060693855,95,0.01,0.08,0.01
49,Sacramento,29631,3617,1084486,830688076.14,Zenaida macroura,Resident,Extant,Native,165339813.42,304411730.5,54.31453418316939,36,430605278.88,605945417.53,71.06337739713676,72,716367950.66,791136125.24,90.54926551896259,95,56.11,44.15,64.23
57,Mexicali,98,45,2875,186124795.79,Columba livia,Resident,Extant,Introduced,6020996.13,7575570.49,79.4791116780962,4,21079890.97,25666502.78,82.12996975351855,13,59618244.54,66388010.35,89.80272827230466,35,64.29,77.78,46.61
57,Mexicali,98,45,2875,186124795.79,Columbina inca,NA,NA,NA,1732950.82,7575570.49,22.875515742181417,4,5962563.66,25666502.78,23.23091584041665,13,19098906.68,66388010.35,28.76860833652021,35,16.33,22.22,12.35
57,Mexicali,98,45,2875,186124795.79,Columbina passerina,Resident,Extant,Native,773983.03,7575570.49,10.216828303844348,4,2740594.99,25666502.78,10.67771099744661,13,8024989.6,66388010.35,12.088010406836963,35,4.08,8.89,2.09
57,Mexicali,98,45,2875,186124795.79,Patagioenas fasciata,Resident,Extant,Native,0,7575570.49,0,4,0,25666502.78,0,13,0,66388010.35,0,35,0,0,0
57,Mexicali,98,45,2875,186124795.79,Streptopelia decaocto,Resident,Extant,Introduced,5525561.67,7575570.49,72.93921530126241,4,19486543.93,25666502.78,75.9220845045723,13,55312125.31,66388010.35,83.31643773987572,35,53.06,71.11,40.7
57,Mexicali,98,45,2875,186124795.79,Zenaida asiatica,Resident,Extant,Native,759736.03,7575570.49,10.028763259517898,4,2736924.73,25666502.78,10.663411191853852,13,9217794.3,66388010.35,13.884727455158627,35,11.22,8.89,6.02
57,Mexicali,98,45,2875,186124795.79,Zenaida macroura,Resident,Extant,Native,2470162.01,7575570.49,32.60694377091064,4,9038118.68,25666502.78,35.21367424876728,13,30174720.66,66388010.35,45.45206355924478,35,29.59,31.11,26.71
65,Hermosillo,1005,188,21788,151339620.6,Columba livia,Resident,Extant,Introduced,16306680.57,26297494.66,62.008494652547256,17,47762929.09,67937376.55,70.30434720252677,44,98603630.66,120270757.24,81.98470926996552,79,41.19,56.91,44.66
65,Hermosillo,1005,188,21788,151339620.6,Columbina inca,Resident,Extant,Native,13491386.77,26297494.66,51.30293567668701,17,41980887.66,67937376.55,61.79350718540514,44,93749705.3,120270757.24,77.94887755875911,79,45.57,46.28,52.54
65,Hermosillo,1005,188,21788,151339620.6,Columbina passerina,Resident,Extant,Native,588779.51,26297494.66,2.2389186407767103,17,2311549.51,67937376.55,3.402470962797282,44,8524679.72,120270757.24,7.087907248300619,79,0.4,1.6,2.09
65,Hermosillo,1005,188,21788,151339620.6,Columbina talpacoti,NA,NA,NA,175795.31,26297494.66,0.6684869120532412,17,605425.35,67937376.55,0.8911520885037767,44,2476653.05,120270757.24,2.0592312768579686,79,0.1,0.53,0.11
65,Hermosillo,1005,188,21788,151339620.6,Patagioenas flavirostris,Resident,Extant,Native,0,26297494.66,0,17,0,67937376.55,0,44,0,120270757.24,0,79,0,0,0
65,Hermosillo,1005,188,21788,151339620.6,Streptopelia decaocto,Resident,Extant,Introduced,20884702.52,26297494.66,79.41708056230479,17,58755853.79,67937376.55,86.48531452602876,44,109463052.68,120270757.24,91.013855065007,79,61.49,73.4,60.82
65,Hermosillo,1005,188,21788,151339620.6,Zenaida asiatica,Resident,Extant,Native,21837859.64,26297494.66,83.04159739298908,17,61055512.62,67937376.55,89.87028307615743,44,113934301.27,120270757.24,94.73150737934108,79,70.55,77.66,77.29
65,Hermosillo,1005,188,21788,151339620.6,Zenaida macroura,Resident,Extant,Native,12990915.13,26297494.66,49.39982039338496,17,39883831.27,67937376.55,58.70675804009981,44,89649695.91,120270757.24,74.53989479013943,79,37.51,44.15,42.17
73,Culiacán,124,49,4927,132746249.91,Columba livia,Resident,Extant,Introduced,2173818.45,7179983.3,30.27609339982727,5,8259423.11,24314160.96,33.96959954155046,18,28808951.54,64387715.59,44.742931591867645,48,16.13,28.57,19.67
73,Culiacán,124,49,4927,132746249.91,Columbina inca,Resident,Extant,Native,2756759.85,7179983.3,38.39507328659107,5,10608246.79,24314160.96,43.629911011331885,18,37379093.02,64387715.59,58.053143643141325,48,19.35,30.61,20.58
73,Culiacán,124,49,4927,132746249.91,Columbina passerina,Resident,Extant,Native,1177559.02,7179983.3,16.400581600238542,5,4663250.08,24314160.96,19.17915278948618,18,17784522.3,64387715.59,27.620986607516944,48,4.84,12.24,8.06
73,Culiacán,124,49,4927,132746249.91,Columbina talpacoti,Resident,Extant,Native,981991.12,7179983.3,13.676788356875427,5,3716426.59,24314160.96,15.285029148708901,18,13731282.69,64387715.59,21.325935489676844,48,4.84,12.24,5.58
